prompt,seed,case_number,source,coco_id
A man in a suit stands in front of a bus,92465,13638,coco_30k_10k.csv,504700
A green and red dump truck parked behind a building,73981,13650,coco_30k_10k.csv,489861
An elephant in the zoo behind a large fence,72284,13663,coco_30k_10k.csv,134555
A field with a bunch of cows grazing.,87204,13672,coco_30k_10k.csv,224093
A dog standing in a kitchen with a toy.,59390,13673,coco_30k_10k.csv,91343
Two adults and one baby elephant walking in the wilderness,80338,13677,coco_30k_10k.csv,4229
several dogs behind a crate with hay on the ground,95692,13690,coco_30k_10k.csv,524382
The man is holding his tie with his right hand.,70259,13703,coco_30k_10k.csv,89487
A young girl jumping into the air while holding an umbrella.,11647,13714,coco_30k_10k.csv,144929
A young girl using a cellphone while sitting next to luggage.,27976,13717,coco_30k_10k.csv,110509
A goat standing in front of a store next to a metal hook.,10083,13738,coco_30k_10k.csv,262993
A young boy holding an umbrella while standing on a wooden deck.,28877,13742,coco_30k_10k.csv,482848
A fleet of green army trucks parked on a grass covered field.,658,13756,coco_30k_10k.csv,398507
A cat is laying curled up on a table surrounded by greenery.,3669,13767,coco_30k_10k.csv,380117
a person walking down a sidewalk holding a colorful umbrella,82352,13779,coco_30k_10k.csv,115075
a man and woman in a canoe with a young child holding oars,80877,13780,coco_30k_10k.csv,199438
A boat sails through frigid water with icebergs.,36893,13817,coco_30k_10k.csv,74280
A black cat playing with a pair of shoes on a stool,59676,13823,coco_30k_10k.csv,47425
A brown bear walks through a grassy field.,67646,13827,coco_30k_10k.csv,283849
A gray and white cat sitting on a grey office chair.,4863,13828,coco_30k_10k.csv,145668
A small boat sailing on a large body of water.,71926,13831,coco_30k_10k.csv,496485
Small kitten warming up to a shy dog.,4769,13841,coco_30k_10k.csv,247428
A line of oil trucks driving down a street,78568,13854,coco_30k_10k.csv,448868
A young man holding up a green bottle as he drinks,3052,13855,coco_30k_10k.csv,109454
A steam train coming through town with houses in the back.,21759,13858,coco_30k_10k.csv,88094
Two woman sharing an umbrella as they walk,94676,13862,coco_30k_10k.csv,145405
Cat sitting on a desk with a computer behind him.,36607,13875,coco_30k_10k.csv,179392
a small boat on a beat near a body of water,18345,13877,coco_30k_10k.csv,223496
A dog sitting in the back of a truck under a blue umbrella.,47592,13899,coco_30k_10k.csv,432276
Elephants walking with each other to travel to a place.,727,13917,coco_30k_10k.csv,465257
"Train with lights on, multiple track area, near over/under pass.",24480,13926,coco_30k_10k.csv,323828
A red and white tug boat drifting in the water.,6491,13941,coco_30k_10k.csv,72860
a close up of a reflection in a body of water,82342,13945,coco_30k_10k.csv,379022
A couple of bags in the back of a car.,98870,13948,coco_30k_10k.csv,525376
"A man in a blue shirt with a red beard, laughing.",35787,13968,coco_30k_10k.csv,478724
A herd of cows drinking water from the river,73584,13975,coco_30k_10k.csv,377326
A mother elephant leading a baby elephant on a clear day.,91655,13982,coco_30k_10k.csv,101959
There are four cows eating grass in a field,66470,13984,coco_30k_10k.csv,190767
A man standing on a paddle boat with his dog on the front end of it.,88260,13997,coco_30k_10k.csv,415798
nice picture of two signs in front of mountains,9765,14012,coco_30k_10k.csv,99741
A firetruck is near a brown building off a side street that veers from a main road.,32999,14033,coco_30k_10k.csv,350003
A firetruck driving past an ambulance on the opposite side of the street.,94672,14043,coco_30k_10k.csv,509772
A map of the Boston subway printed on a statue of a cow.,78497,14070,coco_30k_10k.csv,507667
This is one man with two different sides to him.,44439,14076,coco_30k_10k.csv,163025
A piece of luggage painted with the Eiffel tower on the side of it.,86995,14107,coco_30k_10k.csv,410849
A man sitting on the ground looking like a zombie.,72229,14108,coco_30k_10k.csv,97502
A gray suitcase is empty while clothing is strewn around it.,75355,14109,coco_30k_10k.csv,85637
A man with a dog sitting in his backpack talking to a woman in sunglasses.,32482,14112,coco_30k_10k.csv,265916
This shirtless young man is wearing a tie.,86837,14119,coco_30k_10k.csv,235541
Two young men leaning up against a wall wearing ties.,83958,14120,coco_30k_10k.csv,214492
A street scene with people lined up on the sidewalk.,21494,14126,coco_30k_10k.csv,388100
A cat is playing in a plant on the side of a house.,32551,14131,coco_30k_10k.csv,301107
A picture of a boat being built inside.,88962,14133,coco_30k_10k.csv,90448
A brown dog laying on top of a couch next to a brown teddy bear.,49486,14137,coco_30k_10k.csv,205854
A hand holding a piece of cake with a bite out of it in front of a black and white cat.,94856,14152,coco_30k_10k.csv,109612
A man behind the counter showing a tie made of wood.,38835,14169,coco_30k_10k.csv,64334
A large group of trains parked next to each other on railroad tracks.,35327,14188,coco_30k_10k.csv,263884
a yellow and red train on its track,54207,14201,coco_30k_10k.csv,378844
This young girl is learning to throw a frisbee.,9684,14203,coco_30k_10k.csv,306636
A bear pokes about in the water while seagulls look on.,91683,14204,coco_30k_10k.csv,219594
Stormtrooper figurines sit on the ground near a fence.,85685,14214,coco_30k_10k.csv,360175
A city street with a firetruck driving down it,86414,14217,coco_30k_10k.csv,288824
a close up of a rusted ol car in a field,23332,14218,coco_30k_10k.csv,149767
a train on a train track with a sky background,92929,14225,coco_30k_10k.csv,381658
Two elephants in a field rubbing their trunks on each other.,93147,14233,coco_30k_10k.csv,263860
Dog eating food off of a paper plate.,70666,14251,coco_30k_10k.csv,317147
An adult and baby elephant grazing in the green grass.,63186,14257,coco_30k_10k.csv,92034
A man on horseback herds cattle on yellow grass.,20796,14271,coco_30k_10k.csv,397640
Four men standing outside a brick building with trucks.,48636,14273,coco_30k_10k.csv,487131
A beautiful young woman in a bikini riding a paddle boat.,6909,14280,coco_30k_10k.csv,440940
A white dog laying on top of a Siamese cat on a stone wall.,35800,14285,coco_30k_10k.csv,209419
Yellow vehicle with surfboard tied to roof rack.,17835,14286,coco_30k_10k.csv,217016
The bow of a ship on land with another on the edge of the water.,21436,14290,coco_30k_10k.csv,38662
A pay phone sits on a wet sidewalk on a gloomy day.,16682,14295,coco_30k_10k.csv,214295
There is a cat laying down on a keyboard.,68958,14306,coco_30k_10k.csv,364297
A woman sitting on the ground holding a purple stripped umbrella.,84059,14326,coco_30k_10k.csv,230995
A man and a woman laying in bed on top of each other.,76911,14332,coco_30k_10k.csv,503470
A white teddy bear sitting in a chair.,18753,14334,coco_30k_10k.csv,87141
A cat and dog walk alongside each other.,37016,14346,coco_30k_10k.csv,19304
A brown cow standing in a lush green field.,61950,14354,coco_30k_10k.csv,548921
Two adults and two children sitting on an elephant,62281,14355,coco_30k_10k.csv,457907
A little girl holding a green umbrella on a sidewalk.,85118,14391,coco_30k_10k.csv,85852
Two boats floating on top of a river next to a  rock mountain,10747,14400,coco_30k_10k.csv,50952
"A cropped photo of an outhouse with a man in a chicken costume, military men and a polar bear.",99766,14402,coco_30k_10k.csv,117095
A cat sitting on top of a shelf with a mouse box.,41143,14423,coco_30k_10k.csv,317822
Cats sits on arm of chair blocking view of laptop,78239,14434,coco_30k_10k.csv,408736
An old truck with several years of paint schemes sits parked as if artwork.,19401,14442,coco_30k_10k.csv,485532
A brown cow lays down in the grass,19765,14457,coco_30k_10k.csv,60687
A couple of men standing next to train tracks.,4817,14474,coco_30k_10k.csv,292236
A close up of a stop sign with two hand written notes taped to it.,32530,14479,coco_30k_10k.csv,153568
A woman walking down a road holding an umbrella.,37768,14486,coco_30k_10k.csv,431364
A sky view looking at a large parachute in the sky.,99112,14495,coco_30k_10k.csv,210098
A man standing on top of a boat next to a man in a straw hat.,67685,14515,coco_30k_10k.csv,208107
The blue dump truck rides down the street next to the houses.,1641,14535,coco_30k_10k.csv,454382
"A couple posing in front of a bush embraces, touches noses, and laughs.",70494,14542,coco_30k_10k.csv,26624
A bald man with a beard wearing a polka dot bow tie.,50784,14543,coco_30k_10k.csv,473109
A white and orange cat laying on top of a bed.,79986,14549,coco_30k_10k.csv,359574
A baby elephant next to an adult elephant,52295,14556,coco_30k_10k.csv,122996
A black and white cat stares downward at a window.,35512,14579,coco_30k_10k.csv,125635
The elephant family is walking down the road.,98178,14584,coco_30k_10k.csv,346905
A woman holds an open umbrella while reading her phone.,90730,14595,coco_30k_10k.csv,384462
Three zebras are running up a grassy hill,58044,14596,coco_30k_10k.csv,482062
A man with a suit stands behind a row of chairs in the middle of the afternoon.,99046,14598,coco_30k_10k.csv,445944
A beautiful woman in a bikini surfing with her dog.,87404,14601,coco_30k_10k.csv,392108
A person standing next to a gray and brown dog.,24015,14612,coco_30k_10k.csv,521427
A beautiful young lady walking down a street in the rain.,55206,14620,coco_30k_10k.csv,34930
A herd of animals grazing on a lush green field.,90849,14639,coco_30k_10k.csv,360705
A family riding on the back of an elephant across a field.,31712,14640,coco_30k_10k.csv,546067
A person walking down a street while holding an umbrella.,5190,14643,coco_30k_10k.csv,74101
An orange tabby cat is curled up fast asleep on the top of a sofa cushion.,40987,14662,coco_30k_10k.csv,80757
A LOT OF PEOPLE ARE ON BOATS IN THE WATER,36593,14675,coco_30k_10k.csv,567142
Two favorite kitty activities are sleeping and perusing the outdoors from a windowsill.,51457,14677,coco_30k_10k.csv,412377
A group of young people holding hands standing in front of a tall building.,19093,14686,coco_30k_10k.csv,67502
A group of people standing in a flooded street.,77142,14692,coco_30k_10k.csv,465601
A group of people riding a large gray elephant.,29282,14698,coco_30k_10k.csv,384468
A small green floating on top of a lake.,81804,14717,coco_30k_10k.csv,556369
q close up of three men wearing suits and neck ties,38228,14719,coco_30k_10k.csv,38586
a view of a nuclear power plant from a train stop.,30492,14720,coco_30k_10k.csv,140292
A small elephant licking a blue metal fence.,82367,14722,coco_30k_10k.csv,237597
A man standing next to a woman inside of a building.,28624,14724,coco_30k_10k.csv,442305
A piece of luggage filled with clothing and materials.,85682,14725,coco_30k_10k.csv,498994
A snowboard sitting on a hard wood floor.,92263,14729,coco_30k_10k.csv,315524
A person standing in a field next to trees flying a kite.,20073,14737,coco_30k_10k.csv,82920
A brown and white cow standing in the middle of a gravel path.,65180,14759,coco_30k_10k.csv,374629
A black dog laying on a couch with a floral pattern.,59997,14767,coco_30k_10k.csv,36713
An orange and white cat laying on top of a brown shoe.,39677,14790,coco_30k_10k.csv,388009
A kid tossing a blue frisbee towards another kid.,19005,14794,coco_30k_10k.csv,153971
A couple of young beautiful women holding umbrellas.,35654,14800,coco_30k_10k.csv,479723
A large brown dog laying net to brown wooden barrels.,15983,14809,coco_30k_10k.csv,453731
A woman walking down a street while holding an umbrella.,6456,14816,coco_30k_10k.csv,118743
People around a purple truck loaded with a vehicle.,2021,14831,coco_30k_10k.csv,144878
A beautiful woman in short shorts standing next to a river filled with elephants.,69835,14857,coco_30k_10k.csv,444719
A woman walking down a street holding an umbrella.,69706,14872,coco_30k_10k.csv,57265
A wagon with supplies sitting on top of it.,86273,14884,coco_30k_10k.csv,82465
A young girl is smiling while holding a luggage bag.,68232,14890,coco_30k_10k.csv,314154
Electronic parking meter machine on the side of the road,89448,14915,coco_30k_10k.csv,503232
A white cat laying on a zebra striped blanket.,92919,14920,coco_30k_10k.csv,530367
A large brown dog standing next to a cat on a bed.,4340,14931,coco_30k_10k.csv,86215
A white and red truck with chrome rims parked next to a building.,27059,14934,coco_30k_10k.csv,367893
A group of four women walking down a street in the rain.,65348,14948,coco_30k_10k.csv,36598
A cup filled with a glass at on top of a table.,75811,14949,coco_30k_10k.csv,562735
Three cows standing on a lush green field.,69719,14973,coco_30k_10k.csv,298628
A harbor filled with boats floating on water.,5833,14992,coco_30k_10k.csv,342334
A white semi truck traveling down a road.,66379,14996,coco_30k_10k.csv,251785
Two cats sitting on top of a pair of shoes.,89060,14998,coco_30k_10k.csv,555705
A group of lawn chairs sitting on top of a beach.,76833,14999,coco_30k_10k.csv,17272
A dog with a blue frisbee in it's mouth.,89002,15000,coco_30k_10k.csv,58849
A woman standing next to a white cow with long horns.,28661,15002,coco_30k_10k.csv,208549
"A couple of children riding on the back of a horse posing with their mom, her cow and a small dog.",20932,15007,coco_30k_10k.csv,376247
An outdoor with a patio with chairs and a wooden deck.,91404,15022,coco_30k_10k.csv,233033
A brown dog sitting in a mans back pack.,80978,15025,coco_30k_10k.csv,161609
A crowd of people standing next to each other.,77909,15030,coco_30k_10k.csv,12236
A large gray elephant standing under a blue covering.,8074,15032,coco_30k_10k.csv,422221
A man walking past a group of ladies walking down a road holding pink umbrellas with his gut and moobs handing out.,11622,15042,coco_30k_10k.csv,353001
A boat traveling down a lake next to a shoreline.,58532,15060,coco_30k_10k.csv,2764
A man sticking his tongue while wearing a pink sign around his neck.,60975,15061,coco_30k_10k.csv,209018
A bookshelf with a bear toy and various books.,67150,15072,coco_30k_10k.csv,83574
A yellow truck filled with passengers driving down a  street.,57765,15088,coco_30k_10k.csv,335670
A filed full of cattle laying on lush green grass.,40991,15092,coco_30k_10k.csv,346412
"A closeup of a black jacket, white shirt and striped tie.",84638,15101,coco_30k_10k.csv,475053
A man in white jacket and red tie and a woman in a white headdress.,71378,15102,coco_30k_10k.csv,366529
A white boat on water with seagulls and umbrella in the foreground.,12698,15103,coco_30k_10k.csv,289752
A large red and white boat floating on top of a lake.,4937,15118,coco_30k_10k.csv,75146
A group of women standing next to each other carrying luggage.,94711,15125,coco_30k_10k.csv,222828
Cat with a light colored bowtie lying on floor.,32590,15131,coco_30k_10k.csv,196664
An elephant standing under the shade of a tree.,48347,15137,coco_30k_10k.csv,314294
The young man is outside playing a game of Frisbee.,68801,15154,coco_30k_10k.csv,88485
A man wearing glasses lays in bed next to a cat.,86627,15165,coco_30k_10k.csv,16875
Brown and black cows in a grassy field by trees.,68462,15242,coco_30k_10k.csv,489391
A white chair sitting next to a black cat.,80640,15270,coco_30k_10k.csv,463266
A wet elephant walks through a sandy portion of the beach.,7753,15273,coco_30k_10k.csv,468005
A cat sleeping on top of a pair of shoes.,36201,15289,coco_30k_10k.csv,576701
A picture of a cat wearing a bow tie.,35817,15302,coco_30k_10k.csv,271907
A man adjusting his tie while wearing a jacket.,34364,15309,coco_30k_10k.csv,428554
A cat sits in a living room with a television in the background.,30532,15352,coco_30k_10k.csv,32597
A person sitting outdoors with a Frisbee in front of their face.,56734,15363,coco_30k_10k.csv,578807
a small calf nursing a cow in a pasture,30386,15375,coco_30k_10k.csv,526706
A black and white photo shows someone standing on a beach behind a curtain,3756,15382,coco_30k_10k.csv,365208
A long haired cat sitting next to an open door.,54694,15383,coco_30k_10k.csv,522909
Several people are standing outside a large boat.,84106,15391,coco_30k_10k.csv,511599
Cattle lie in the grass to chew their cud.,75928,15396,coco_30k_10k.csv,402992
A person in a shirt and tie is holding a can.,644,15408,coco_30k_10k.csv,147624
People walking next to a cafe in the rain,21142,15414,coco_30k_10k.csv,502963
A close up of a dog eating something on its bed.,67966,15419,coco_30k_10k.csv,209286
A display of flowering bushes in pots on a backyard patio.,95777,15429,coco_30k_10k.csv,124429
A bottle of booze sitting next to a glass.,38326,15433,coco_30k_10k.csv,571786
Two boats pulled ashore in the sand on a river bank.,1528,15441,coco_30k_10k.csv,346377
A dog kissing a cat on top of a cement road.,82011,15443,coco_30k_10k.csv,401758
a cat rubbing its face against a bottle.c,86832,15444,coco_30k_10k.csv,361157
Some animals that are eating some hay together.,93351,15448,coco_30k_10k.csv,315062
A close up of a person wearing a bow tie posing for a photo.,30016,15457,coco_30k_10k.csv,345979
A group of young women holding umbrellas while walking down a street.,82881,15463,coco_30k_10k.csv,281759
A cat laying on top of a chair as it sleeps.,27986,15472,coco_30k_10k.csv,546622
A piece of luggage is leaning against the wall.,74455,15480,coco_30k_10k.csv,505487
A man holding a tray of glasses with candy canes.,57819,15482,coco_30k_10k.csv,519329
Two antique suitcases sit stacked one on top of the other.,37678,15495,coco_30k_10k.csv,441147
A young boy who is formally dressed is smiling for the camera.,45344,15496,coco_30k_10k.csv,222625
There is a elephant that is standing besides a lake or river,69996,15513,coco_30k_10k.csv,194381
some small boats in a body of water,1688,15515,coco_30k_10k.csv,199125
The people are on the beach enjoying the sun.,16688,15526,coco_30k_10k.csv,350467
a bear walking in the woods next to some trees,11461,15528,coco_30k_10k.csv,11552
A person looking over the water at large boats.,56018,15529,coco_30k_10k.csv,247306
A photograph of two cows grazing on a green pasture.,87986,15538,coco_30k_10k.csv,357081
A large stuffed bear on display in a room.,82416,15544,coco_30k_10k.csv,453438
A man sitting up on a chair with a umbrella.,54892,15548,coco_30k_10k.csv,481422
A boy in a tie is bending down over a bowl.,50315,15551,coco_30k_10k.csv,62297
Two elephants lock their trucks together in the brush area.,21812,15556,coco_30k_10k.csv,562595
A dog swimming in a poop with a Frisbee.,41271,15569,coco_30k_10k.csv,284772
A couple of giant umbrellas suspended from a ceiling.,3726,15582,coco_30k_10k.csv,290951
Man walking down street with an umbrella over his head.,95735,15588,coco_30k_10k.csv,487957
A man on a horse beside some cattle on a road.,57313,15591,coco_30k_10k.csv,558253
The contents of a backpack displayed next to the backpack.,92317,15599,coco_30k_10k.csv,334125
Three back packers with heavy packs and a dog hiking on a hill side.,13921,15613,coco_30k_10k.csv,96288
A harbor with many boats and city in the background.,92015,15623,coco_30k_10k.csv,13420
A white pick up truck parked in a parking lot.,43170,15630,coco_30k_10k.csv,129800
A group of people with pink umbrellas on walkway.,6690,15634,coco_30k_10k.csv,432106
a polar bear following a big winged bird,98517,15645,coco_30k_10k.csv,572517
These suitcases are sitting next to a chair.,88733,15652,coco_30k_10k.csv,480652
People are on board elephants in a muddy river.,1503,15654,coco_30k_10k.csv,315352
Self photo in mirror of male with brown vest and jeans,52599,15673,coco_30k_10k.csv,5569
"A person in a car wearing dark glasses, a shirt, and tie.",55511,15678,coco_30k_10k.csv,562155
A field with a boundary line across it and some cattle in the background.,82139,15683,coco_30k_10k.csv,528886
A grassy field with animals roaming on it.,42098,15687,coco_30k_10k.csv,498283
Two bulls laying in hay with various people standing around.,73949,15704,coco_30k_10k.csv,141426
The big bear is laying down on the rock in the sun.,17603,15707,coco_30k_10k.csv,568082
A cute cat laying on a rock in the woods.,53521,15710,coco_30k_10k.csv,577028
A girl in grey jacket and tie standing on a street.,53592,15720,coco_30k_10k.csv,544655
Small dog sitting on a carpet with a rubber doughnut toy.,24408,15731,coco_30k_10k.csv,113271
A small child standing next to a train at a station.,4957,15738,coco_30k_10k.csv,195567
two men in suits standing next to each other,18568,15744,coco_30k_10k.csv,381529
A woman is hitting a ball with a tennis racket.,37054,15751,coco_30k_10k.csv,153822
A man wearing a tie and a white shirt with glasses.,66388,15775,coco_30k_10k.csv,412586
Elephants stand in a large expanse of grass.,52113,15778,coco_30k_10k.csv,349896
there is a dog playing frisbee in the snow,9133,15791,coco_30k_10k.csv,102598
two boats on the beach separated from one another,33844,15793,coco_30k_10k.csv,156184
A cute kitten playing with strings on a shoe.,14877,15799,coco_30k_10k.csv,205103
A white truck parked in front of a store with lots of windows.,27512,15808,coco_30k_10k.csv,293785
A man in a tie shaking a woman by the hand.,92103,15815,coco_30k_10k.csv,467107
A brown cow standing in a forest next to tree branches.,78292,15819,coco_30k_10k.csv,531973
A black and white cow standing next to a wire fence.,88958,15820,coco_30k_10k.csv,423336
A set of three neck ties with pictures of dogs and cats on them.,28649,15825,coco_30k_10k.csv,189504
A man standing on stage with a group of men .,91811,15830,coco_30k_10k.csv,490739
A train with cars going down the tracks in the country.,71499,15852,coco_30k_10k.csv,25346
"A black and white photo of four people, one rowing along a lake.",90253,15853,coco_30k_10k.csv,380834
An unmanned boat is in the ocean water.,95755,15855,coco_30k_10k.csv,240329
Two dogs relaxing out on the dirt road,13028,15882,coco_30k_10k.csv,111548
A dark red train traveling down train tracks past a train station.,93796,15888,coco_30k_10k.csv,67948
Four adults riding on a boat that is homemade.,99772,15891,coco_30k_10k.csv,356622
A red stop sign sitting on top of a green planter.,60191,15910,coco_30k_10k.csv,283038
A woman standing next to a cat laying on top of a floor.,45533,15931,coco_30k_10k.csv,78495
A small elephant laying on the ground in the mud.,59800,15940,coco_30k_10k.csv,498383
A cat laying on top of a bag filled with items.,62484,15942,coco_30k_10k.csv,48530
an old fashioned table holding onto some suitcases,27832,15944,coco_30k_10k.csv,304159
Two piles of trunks sitting next to each other.,97526,15946,coco_30k_10k.csv,64915
a pair of shoes and fabric strewn across a wooden floor.,41613,15948,coco_30k_10k.csv,315388
Traffic stop sign with dilapidated building behind it.,84124,15954,coco_30k_10k.csv,347163
Two tall buildings stand next to each other.,79869,15970,coco_30k_10k.csv,560119
A black sedan parked in the street with a building in a modern architectural style in the background.,56294,15972,coco_30k_10k.csv,437859
Man setting fire to a wooden dugout boat,1125,15979,coco_30k_10k.csv,439710
A group of ferry and sailboats are sitting on the water.,51441,15986,coco_30k_10k.csv,519703
Two cows in a small penned area standing together,69082,15994,coco_30k_10k.csv,511349
Guys on motorcycles rides along side cars and behind a truck filled with people in the back.,47278,16000,coco_30k_10k.csv,171548
A person that is on the front of a can.,105,16010,coco_30k_10k.csv,324774
A man is standing next to his ice cream truck.,91097,16012,coco_30k_10k.csv,258850
A boat filled with people floating down a canal.,49008,16014,coco_30k_10k.csv,448849
There are three semi-trucks in this hangar two facing in and one facing out.,93767,16029,coco_30k_10k.csv,545749
A aqua colored truck carrying a wide load down the street.,26207,16037,coco_30k_10k.csv,182233
A big steer is just about to walk onto the road near the folks on the bike.,87685,16047,coco_30k_10k.csv,343504
A row of bamboo umbrellas sitting on top of a beach.,95117,16051,coco_30k_10k.csv,319768
Many boats are docked across from a city.,53861,16055,coco_30k_10k.csv,198247
two yellow red and silver trains on their tracks,82432,16059,coco_30k_10k.csv,275744
A colorful truck is driving with a full load of sticks and twigs.,77231,16089,coco_30k_10k.csv,188439
Two elephants walk in the grass together by trees.,59786,16108,coco_30k_10k.csv,140702
Two men standing on street next to a tree and building.,11247,16138,coco_30k_10k.csv,111864
black teddy bear placed in front of mirror,16835,16141,coco_30k_10k.csv,17769
a close up of a cat in a sink,77641,16159,coco_30k_10k.csv,39828
Looking in to a straw lined pen of cows,3508,16168,coco_30k_10k.csv,52575
A group of people scrubbing down their elephants,79608,16191,coco_30k_10k.csv,81616
A group of cows grazing near a beach as one cow looks up.,65598,16206,coco_30k_10k.csv,416765
A brown and white cat is in a suitcase.,52598,16223,coco_30k_10k.csv,319865
A cow on a hill top looking for something to eat,23059,16245,coco_30k_10k.csv,350491
Black and white photograph of people with surfboards next to a car.,91581,16254,coco_30k_10k.csv,414934
a person walking down a street while holding an umbrella,22216,16256,coco_30k_10k.csv,383001
a polar bear in the water holding a carrot,79790,16274,coco_30k_10k.csv,87194
A large elephant carrying a man down the street,84242,16294,coco_30k_10k.csv,210980
Two dogs in a living room watching outside through a glass door.,69598,16297,coco_30k_10k.csv,417846
A cow that is grazing on some grass.,99253,16316,coco_30k_10k.csv,22983
An elephant in a zoo near a watering hole.,43649,16318,coco_30k_10k.csv,431159
A young man leaing a cow down a rural country road.,94827,16342,coco_30k_10k.csv,354242
A cat eating a part of a person sandwich,96492,16369,coco_30k_10k.csv,21161
A brown and white cat on carpet with wall in background.,32785,16382,coco_30k_10k.csv,226957
a small boat in the ocean heading toward a navy ship,31674,16393,coco_30k_10k.csv,288114
Many boats are parked in the middle of a city.,17691,16418,coco_30k_10k.csv,463849
A dog sits on a seat in the middle of a room.,77573,16419,coco_30k_10k.csv,264392
A group of five people steering a raft down a river.,62982,16428,coco_30k_10k.csv,137362
a train being run on a train track near trees,21499,16450,coco_30k_10k.csv,414068
Cat standing next to a dog laying on the bed,90757,16453,coco_30k_10k.csv,570995
A man holding a suitcase in one hand and hat in the other,79049,16469,coco_30k_10k.csv,539738
A cat that is standing looking through a glass.,51573,16491,coco_30k_10k.csv,63552
A small kitten laying on top of a purple slipper.,4878,16493,coco_30k_10k.csv,234124
A open suitcase with a book on a table.,77566,16506,coco_30k_10k.csv,473433
Two trucks carrying logs are traveling up a hill.,83619,16535,coco_30k_10k.csv,172201
There are several differently colored train cars shown.,7660,16553,coco_30k_10k.csv,105876
A woman holds an umbrella while sitting in a camp chair.,4916,16581,coco_30k_10k.csv,464317
Two boats that are sitting in the water.,13588,16595,coco_30k_10k.csv,142942
A man stands with a flag-decked statue depicting a child with piles of luggage.,88308,16596,coco_30k_10k.csv,559364
A cat is staring at the computer keyboard.,3451,16603,coco_30k_10k.csv,575911
"A rather large heard of elephants, including a baby.",54423,16604,coco_30k_10k.csv,121326
A cat sitting on a table behind a glass filled with wine.,82223,16605,coco_30k_10k.csv,349130
A picture of brothers and sisters in a family.,21810,16615,coco_30k_10k.csv,531144
some boats are in the water buildings and a person,9365,16625,coco_30k_10k.csv,90040
That doll has really dark and black eyes.,74151,16629,coco_30k_10k.csv,463628
a woman walks down the street holding a umbrella,33387,16641,coco_30k_10k.csv,226380
a cat laying in a cat bed near an open umbrella,15608,16643,coco_30k_10k.csv,493074
A woman riding on a boat filled with supplies.,8186,16652,coco_30k_10k.csv,24609
Several people standing on a sidewalk under an umbrella.,19112,16655,coco_30k_10k.csv,530162
A black and white cow grazing on dry hay next to a black cow.,63234,16656,coco_30k_10k.csv,179200
three adult brown bears standing around staring at something,68032,16663,coco_30k_10k.csv,112573
a close up of a person holding a cat wearing a tie,97582,16664,coco_30k_10k.csv,149646
A dog jumping in the air catching a frisbee.,98103,16675,coco_30k_10k.csv,523418
a close up of a cat laying on top of a luggage bag,76087,16680,coco_30k_10k.csv,245997
A dog holding a skateboard trotting down a street.,51252,16683,coco_30k_10k.csv,499397
A cat with glowing eyes laying on top of a person.,61835,16685,coco_30k_10k.csv,573753
A girl and a boy smile at each other.,88403,16694,coco_30k_10k.csv,200939
there is a man walking in the street holding a umbrella,36810,16698,coco_30k_10k.csv,412437
Two elephants are standing by the trees in the wild.,8411,16703,coco_30k_10k.csv,108338
A stop sign is hanging from a post.,67473,16713,coco_30k_10k.csv,420658
A large cow laying on the ground in the woods.,85572,16718,coco_30k_10k.csv,161195
A lady is on the beach hiding in her umbrella.,64576,16735,coco_30k_10k.csv,495546
A dog grabs for a Frisbee in the park.,61581,16743,coco_30k_10k.csv,498346
there is a small black train and people looking at it,72848,16749,coco_30k_10k.csv,96241
"A man wearing glasses, dress shirt and a tie is smiling in content.",45216,16751,coco_30k_10k.csv,173274
A small boat in the water and a person.,52598,16752,coco_30k_10k.csv,230936
a group of green luggage sitting together in a living room,64204,16761,coco_30k_10k.csv,325153
A boat that has blue covers sitting on the side of the water,54413,16763,coco_30k_10k.csv,379085
A man holding a baby in a white baptism outfit.,42486,16773,coco_30k_10k.csv,151742
A red bench and a person in a train station.,10005,16785,coco_30k_10k.csv,565485
A man dressed in a black vest suit is modeling in front of a building.,4495,16804,coco_30k_10k.csv,72255
Two men are playing ball with some elephants.,55801,16824,coco_30k_10k.csv,563541
A view of a beach that has some people sitting on it.,48926,16838,coco_30k_10k.csv,202582
A cat is staring at a laptop computer.,76297,16843,coco_30k_10k.csv,506095
A woman in a tie and blue hair.,62074,16844,coco_30k_10k.csv,393372
There is no image here to provide a caption for.,76633,16847,coco_30k_10k.csv,265742
The dog is laying down underneath the table because he is in trouble for chewing on things he shouldn't have chewed on.,59037,16850,coco_30k_10k.csv,213799
A woman with dyed hair and wearing a tie poses for a selfie.,22681,16851,coco_30k_10k.csv,497297
A gate is near lots and lots of luggage that is all grouped together in different clusters.,58875,16852,coco_30k_10k.csv,360097
a large lake and a forest behind it,56420,16853,coco_30k_10k.csv,219216
A cat sleeping on top of a stereo by a plastic clock,62759,16866,coco_30k_10k.csv,441974
A small cat sitting on a chair by a window.,77008,16868,coco_30k_10k.csv,168847
A cow seems disfigured and injured on the beach.,78770,16875,coco_30k_10k.csv,300008
A man walking down a street holding a red and gray bag.,94198,16886,coco_30k_10k.csv,207611
A cat that is in a piece of luggage.,32358,16890,coco_30k_10k.csv,292232
A group of people hanging out around a truck.,3791,16910,coco_30k_10k.csv,531585
A group of boats sitting next to each other on a beach.,13051,16913,coco_30k_10k.csv,287663
A cat laying on top of a suitcase laying on the floor.,94754,16932,coco_30k_10k.csv,500471
